Element_ID	Tag_name	Name	No_clicks	Visible	Version
128	area	Montana State University - Home	1291	FALSE	Interact
69	a	FIND	842	TRUE	Interact
61	input	s.q	508	TRUE	Interact
67	a	lib.montana.edu/find/	166	TRUE	Interact
78	a	REQUEST	151	TRUE	Interact
98	a	Hours	102	TRUE	Interact
62	button	Search	101	TRUE	Interact
118	a	MSU	55	TRUE	Interact
50	span	nav-item-dot	46	TRUE	Interact
87	a	INTERACT	42	TRUE	Interact
76	a	lib.montana.edu/request/	38	TRUE	Interact
96	a	News	36	TRUE	Interact
85	a	lib.montana.edu/interact/	27	TRUE	Interact
30	a	slideshow-right	19	TRUE	Interact
73	p	"Find research materials, including articles, books, databases, journals, and course reserves"	19	TRUE	Interact
64	a	Advanced Search	17	TRUE	Interact
6	a	Ask A Librarian	16	TRUE	Interact
107	a	6/17 Library Workshop: EndNote Web Basics	15	TRUE	Interact
29	a	slideshow-left	14	TRUE	Interact
119	a	About MSU Library	13	TRUE	Interact
8	div	logo-ikd	12	TRUE	Interact
11	div	.	11	TRUE	Interact
100	a	Twitter	10	TRUE	Interact
127	a	Site Index & Site Search	10	TRUE	Interact
122	a	Contact Us	9	TRUE	Interact
130	div	montana.edu	9	FALSE	Interact
137	p	Renne: 7:00 am - 9:00 pm	9	FALSE	Interact
36	a	nav-item	8	TRUE	Interact
40	a	nav-item	8	TRUE	Interact
44	a	nav-item	7	TRUE	Interact
60	form	Search	7	TRUE	Interact
132	a	Tip of the Week: Submit a Request for the Library to Pu	7	FALSE	Interact
1	div	Ask A Librarian	6	TRUE	Interact
54	div	"Search Advanced Search FIND Find research materials, including articles, books, databases, journals,"	6	TRUE	Interact
48	a	nav-item	5	TRUE	Interact
55	div	Search Advanced Search	5	TRUE	Interact
115	a	YouTube	5	TRUE	Interact
3	img	Montana State University in Bozeman	4	TRUE	Interact
14	div	Montana State University Historical Photographs	4	TRUE	Interact
105	a	6/17 Library Workshop: Zotero Basics	4	TRUE	Interact
9	div	". Explore the world, explore the past Science & Natural History Filmmaking Archive MSU School of Fil"	3	TRUE	Interact
38	span	nav-item-dot	3	TRUE	Interact
42	span	nav-item-dot	3	TRUE	Interact
46	span	nav-item-dot	3	TRUE	Interact
56	div	logo	3	TRUE	Interact
82	p	"Request resources and services, including group study rooms, laptops, documents, and books"	3	TRUE	Interact
131	div	montana.summon.serialssolutions.com/advanced/	3	FALSE	Interact
19	div	Meet with a librarian for help with your research topic Chat with a librarian Schedule a meeting Cal	2	TRUE	Interact
32	a	nav-item	2	TRUE	Interact
